Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Single-Ended I/O,Chip Globals,XTLOSC
OSC_0/Primitives,0,0,0,1,1
Primitives/Primitives,3,0,32,1,0
clkdiv_0/Primitives,71,43,0,2,0
main_file_0/Primitives,19,12,0,2,0
main_file_0/module_j_inst/Primitives,26,0,0,2,0
main_file_0/module_k_inst/Primitives,54,23,0,0,0
main_file_0/p1/Primitives,15,8,0,0,0
main_file_0/p10/Primitives,19,9,0,0,0
main_file_0/p12/Primitives,19,9,0,0,0
main_file_0/p13/Primitives,19,9,0,0,0
main_file_0/p14/Primitives,19,9,0,0,0
main_file_0/p15/Primitives,19,9,0,0,0
main_file_0/p16/Primitives,19,9,0,0,0
main_file_0/p17/Primitives,19,9,0,0,0
main_file_0/p18/Primitives,19,9,0,0,0
main_file_0/p19/Primitives,19,9,0,0,0
main_file_0/p2/Primitives,1,1,0,0,0
main_file_0/p20/Primitives,19,9,0,0,0
main_file_0/p21/Primitives,19,9,0,0,0
main_file_0/p22/Primitives,19,9,0,0,0
main_file_0/p23/Primitives,19,9,0,0,0
main_file_0/p24/Primitives,19,9,0,0,0
main_file_0/p3/Primitives,19,9,0,0,0
main_file_0/p4/Primitives,19,9,0,0,0
main_file_0/p5/Primitives,19,9,0,0,0
main_file_0/p6/Primitives,19,9,0,0,0
main_file_0/p7/Primitives,19,9,0,0,0
main_file_0/p8/Primitives,19,9,0,0,0
main_file_0/p9/Primitives,19,9,0,0,0
main_file_0/spi1/Primitives,78,26,0,0,0
main_file_0/spi1/spi0/A10_5/Primitives,0,1,0,0,0
main_file_0/spi1/spi0/A10_6/Primitives,0,1,0,0,0
main_file_0/spi1/spi0/A10_clk/Primitives,0,1,0,0,0
main_file_0/spi1/spi0/A2/Primitives,0,1,0,0,0
main_file_0/spi1/spi0/A2_1/Primitives,0,1,0,0,0
main_file_0/spi1/spi0/A4/Primitives,0,1,0,0,0
main_file_0/spi1/spi0/A4_5/Primitives,0,1,0,0,0
main_file_0/spi1/spi0/A5/Primitives,0,1,0,0,0
main_file_0/spi1/spi0/A5_5/Primitives,0,1,0,0,0
main_file_0/spi1/spi0/D2/Primitives,0,1,0,0,0
main_file_0/spi1/spi0/Primitives,275,53,0,0,0
main_file_0/spi1/stop1/Primitives,0,2,0,0,0
main_file_0/spi1/stop10/Primitives,0,2,0,0,0
main_file_0/spi1/stop12/Primitives,0,2,0,0,0
main_file_0/spi1/stop2/Primitives,0,2,0,0,0
main_file_0/spi1/stop3/Primitives,0,2,0,0,0
main_file_0/spi1/stop4/Primitives,0,2,0,0,0
main_file_0/spi1/stop5/Primitives,0,2,0,0,0
main_file_0/spi1/stop6/Primitives,0,2,0,0,0
main_file_0/spi1/stop7/Primitives,0,2,0,0,0
main_file_0/spi1/stop8/Primitives,0,2,0,0,0
