SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
1,main_file_0.module_k_inst.y_1[7:0],priority_encoder_8_3|dout_inferred_clock[3],clkdiv|a1_inferred_clock,main_file_0.p24.delay_done,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
2,main_file_0.module_k_inst.y_1[15:8],priority_encoder_8_3|pri_enc_un91_din_inferred_clock,clkdiv|a1_inferred_clock,main_file_0.p24.delay_done,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
3,main_file_0.module_k_inst.y_1[23:16],priority_encoder_8_3|dout_inferred_clock[3],clkdiv|a1_inferred_clock,main_file_0.p24.delay_done,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
4,main_file_0.spi1.rd_int,clkdiv|a2_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
5,main_file_0.spi1.rd_int,clkdiv|a2_inferred_clock,clkdiv|a1_inferred_clock,main_file_0.p1.temp1,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
6,main_file_0.spi1.rd_int,clkdiv|a2_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
7,main_file_0.spi1.pu_cnt,clkdiv|a2_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
8,main_file_0.spi1.pu_cnt,clkdiv|a2_inferred_clock,clkdiv|a1_inferred_clock,main_file_0.p1.temp1,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
9,main_file_0.spi1.pu_cnt,clkdiv|a2_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
10,main_file_0.spi1.path,clkdiv|a2_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
