
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. TOP, 385, 714, 237, 0, 0, 0, 0, 8, 32
.	. TOP_OSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. clkdiv, 43, 32, 40, 0, 0, 0, 0, 2, 0
.	. main_file, 342, 682, 195, 0, 0, 0, 0, 4, 0
.	.	. decoder3x8, 23, 54, 0, 0, 0, 0, 0, 0, 0
.	.	. f1_input, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. f3_input, 9, 11, 8, 0, 0, 0, 0, 0, 0
.	.	. f3_input_1, 9, 11, 8, 0, 0, 0, 0, 0, 0
.	.	. f9_input, 9, 11, 8, 0, 0, 0, 0, 0, 0
.	.	. fault_input, 9, 11, 8, 0, 0, 0, 0, 0, 0
.	.	. fault_input_17, 9, 11, 8, 0, 0, 0, 0, 0, 0
.	.	. fault_input_18, 9, 11, 8, 0, 0, 0, 0, 0, 0
.	.	. fault_input_19, 9, 11, 8, 0, 0, 0, 0, 0, 0
.	.	. fault_input_20, 9, 11, 8, 0, 0, 0, 0, 0, 0
.	.	. fault_input_21, 9, 11, 8, 0, 0, 0, 0, 0, 0
.	.	. fault_input_22, 9, 11, 8, 0, 0, 0, 0, 0, 0
.	.	. fault_input_23, 9, 11, 8, 0, 0, 0, 0, 0, 0
.	.	. fault_input_24, 9, 11, 8, 0, 0, 0, 0, 0, 0
.	.	. fault_input_25, 9, 11, 8, 0, 0, 0, 0, 0, 0
.	.	. fault_input_26, 9, 11, 8, 0, 0, 0, 0, 0, 0
.	.	. fault_input_27, 9, 11, 8, 0, 0, 0, 0, 0, 0
.	.	. fault_input_28, 9, 11, 8, 0, 0, 0, 0, 0, 0
.	.	. fault_input_29, 9, 11, 8, 0, 0, 0, 0, 0, 0
.	.	. fault_input_30, 9, 11, 8, 0, 0, 0, 0, 0, 0
.	.	. fault_input_31, 9, 11, 8, 0, 0, 0, 0, 0, 0
.	.	. fault_input_32, 9, 11, 8, 0, 0, 0, 0, 0, 0
.	.	. fault_input_33, 9, 11, 8, 0, 0, 0, 0, 0, 0
.	.	. fpm_input, 8, 15, 0, 0, 0, 0, 0, 0, 0
.	.	. priority_encoder_8_3, 0, 28, 0, 0, 0, 0, 0, 2, 0
.	.	. spi, 109, 344, 17, 0, 0, 0, 0, 0, 0
.	.	.	. stopcom, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. stopcom_0, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. stopcom_1, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. stopcom_2, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. stopcom_3, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. stopcom_4, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. stopcom_5, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. stopcom_6, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. stopcom_7, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. stopcom_8, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. switchcheck1, 63, 283, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. D_FF, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. D_FF_0, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. D_FF_1, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. D_FF_2, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. D_FF_3, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. D_FF_4, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. D_FF_5, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. D_FF_6, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. D_FF_7, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. D_FF_9, 1, 1, 0, 0, 0, 0, 0, 0, 0
